iter	Passed	Remaining
0	0	70
1	1	63
2	1	59
3	2	55
4	2	55
5	3	54
6	4	54
7	4	54
8	5	54
9	6	54
10	6	54
11	7	54
12	8	53
13	8	53
14	9	53
15	9	52
16	10	51
17	11	51
18	12	51
19	12	50
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	17	45
27	17	45
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	32
46	28	32
47	29	31
48	29	31
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	44	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	7
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	56	0
99	56	0
